,school name,federal loan rate,t9 cost for public schools,t9 cost for private schools,tuition revenue per full time enrollment,tuition cost for in state students,part time student retention rate for 4y,full time students <4y,full time students in 4y,cost of attendance w fam other expenses,compl rate for <4y (white),compl rate for <4y (2 or more races),compl rate for <4y (hawaiian/pac islander),compl rate for <4y (hispanic),compl rate for <4y (black),compl rate for <4y (american indian),compl rate less than 4y (american indian),compl rate for 4y (white),compl rate for 4y (2 or more races),compl rate for 4y (hawaiian/pac islander),compl rate for 4y (hispanic),compl rate for 4y (black),compl rate for 4y (asian),compl rate for 4y (american indian),1st-time fulltime compl 4y (2y avg),1st-time fulltime compl 4y,id,latitude,longitude
27,Jefferson State Community College,0.1976,544.0,0.0,3116.0,4920.0,0.0,0.5888,0.0,4759.0,0.2583,0.16,0.0,0.0706,0.1514,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101505,33.652535,-86.707233
28,John C Calhoun State Community College,0.1758,483.0,0.0,3686.0,4940.0,0.0,0.6264,0.0,3200.0,0.343,0.2805,0.0,0.2917,0.2308,0.3636,0.4444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101514,34.645844,-86.949674
29,Lawson State Community College,0.0,354.0,0.0,1447.0,4860.0,0.0,0.5556,0.0,5807.0,0.439,0.2222,0.0,0.2813,0.2164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101569,33.450814,-86.888844
30,University of West Alabama,0.6499,204.0,0.0,8863.0,10990.0,0.7857,0.0,0.6259,3505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4409,0.1111,0.0,0.25,0.3438,1.0,0.0,0.3958,0.3914,101587,32.588132,-88.186329
31,Lurleen B Wallace Community College,0.0,171.0,0.0,1581.0,4620.0,0.0,0.6445,0.0,3625.0,0.6129,0.3333,0.0,0.1667,0.1111,0.0833,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101602,31.322947,-86.452262
32,Marion Military Institute,0.3641,56.0,0.0,2732.0,9218.0,0.0,0.3602,0.0,0.0,0.3542,0.2353,0.0,0.24,0.5429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101648,32.623734,-87.322041
33,Miles College,0.8049,0.0,334.0,4779.0,12714.0,0.2,0.0,0.5788,2992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.1429,0.2407,0.0,0.0,0.2368,0.2388,101675,33.482442,-86.908751
34,University of Mobile,0.488,0.0,182.0,9788.0,24855.0,1.0,0.0,0.7146,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5879,0.4,0.0,1.0,0.2414,0.3333,0.8,0.5018,0.5141,101693,30.793247,-88.128934
35,University of Montevallo,0.5247,267.0,0.0,9324.0,13710.0,0.4706,0.0,0.7481,3380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4891,0.7333,0.0,0.5652,0.589,0.6667,0.5,0.5296,0.517,101709,33.10625,-86.865099
36,Northwest-Shoals Community College,0.1952,357.0,0.0,2624.0,4831.0,0.0,0.6041,0.0,3060.0,0.2831,0.5,0.0,0.1923,0.1831,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101736,34.739788,-87.678089
37,University of North Alabama,0.4218,514.0,0.0,7620.0,10620.0,0.3784,0.0,0.762,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5756,0.4,0.0,0.4118,0.3622,0.5714,0.5556,0.5065,0.5121,101879,34.806738,-87.681361
38,Northeast Alabama Community College,0.1399,225.0,0.0,2686.0,4860.0,0.0,0.6662,0.0,2400.0,0.492,0.4444,0.0,0.5652,0.4,1.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101897,34.545471,-85.911664
39,Oakwood University,0.6871,0.0,221.0,13645.0,19990.0,0.25,0.0,0.7376,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5185,0.5129,0.0,0.0,0.4958,0.4911,101912,34.756344,-86.652705
40,Reid State Technical College,0.0,19.0,0.0,2047.0,4890.0,0.0,0.7083,0.0,1500.0,0.3256,0.0,0.0,0.0,0.2258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101994,31.460265,-86.964797
41,Bishop State Community College,0.0,145.0,0.0,2326.0,4860.0,0.0,0.4889,0.0,2700.0,0.3121,0.4286,0.0,0.1538,0.2674,0.2,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102030,30.693972,-88.056982
42,Samford University,0.3093,0.0,357.0,20237.0,35360.0,0.0,0.0,0.8824,5340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8135,0.7273,0.0,0.4545,0.6667,0.9,1.0,0.7811,0.7891,102049,33.464128,-86.791799
43,Shelton State Community College,0.0,310.0,0.0,2435.0,4587.0,0.0,0.6097,0.0,3320.0,0.3641,0.0,0.0,0.0,0.1629,0.2,0.1818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102067,33.120531,-87.56148
44,Snead State Community College,0.1312,234.0,0.0,2970.0,5344.0,0.0,0.6478,0.0,3939.0,0.4527,0.0,1.0,0.4767,0.4,0.6,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102076,34.201495,-86.169897
45,University of South Alabama,0.512,923.0,0.0,9225.0,8756.0,0.4318,0.0,0.7376,4762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5211,0.4127,0.5,0.4464,0.4194,0.7246,0.4,0.4617,0.4741,102094,30.696033,-88.178711
46,Spring Hill College,0.7484,0.0,216.0,12381.0,21100.0,0.0,0.0,0.8,3162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5739,0.4848,0.0,0.4444,0.5306,0.3333,0.6667,0.5663,0.5639,102234,30.694751,-88.138199
47,Stillman College,0.7339,0.0,100.0,8143.0,11392.0,0.1372,0.0,0.5874,4572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1532,0.0,0.0,0.1831,0.1466,102270,33.200006,-87.585278
48,Talladega College,0.7036,0.0,254.0,8669.0,13886.0,0.2973,0.0,0.6188,3700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2898,0.0,0.0,0.2761,0.2458,102298,33.433472,-86.112704
49,H Councill Trenholm State Community College,0.0,123.0,0.0,2799.0,4770.0,0.0,0.5383,0.0,4000.0,0.3011,0.0,0.0,0.3333,0.1887,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102313,32.350109,-86.343057
50,Troy University,0.6436,1251.0,0.0,9483.0,9312.0,0.3308,0.0,0.7547,4766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5884,0.4655,0.6667,0.3333,0.374,0.6,0.6,0.5105,0.5183,102368,31.800672,-85.957094
51,Tuskegee University,0.1305,0.0,316.0,14730.0,22614.0,0.9091,0.0,0.7827,4855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5404,0.0,0.0,0.5435,0.5697,102377,32.4309,-85.708492
52,United States Sports Academy,0.6364,0.0,0.0,13404.0,16418.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102395,30.639329,-87.91163
53,Bevill State Community College,0.0,202.0,0.0,2287.0,5214.0,0.0,0.6214,0.0,6488.0,0.3879,0.2778,0.0,0.3077,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102429,33.836929,-87.266406
54,University of Alaska Anchorage,0.1708,332.0,0.0,8106.0,8622.0,0.4364,0.0,0.684,9763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3612,0.2788,0.1176,0.2921,0.1176,0.3208,0.0496,0.3029,0.3047,102553,61.190163,-149.82619
55,Alaska Bible College,0.175,0.0,4.0,9080.0,10900.0,0.0,0.0,0.7059,4846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4667,0.5,102580,61.598553,-149.111972
56,University of Alaska Fairbanks,0.1844,164.0,0.0,9274.0,7248.0,0.4827,0.0,0.729,4250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4692,0.4688,0.0,0.3061,0.4,0.4167,0.1163,0.3858,0.3845,102614,64.85756,-147.823146
57,University of Alaska Southeast,0.144,39.0,0.0,8622.0,6960.0,0.3333,0.0,0.6406,3716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3729,0.1667,1.0,0.25,0.0,0.75,0.0,0.2374,0.3034,102632,58.384846,-134.638255
58,Alaska Pacific University,0.4519,0.0,13.0,12185.0,20760.0,0.5,0.0,0.5938,4410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2353,0.3333,0.0,0.0,0.0,0.0,0.5,0.3333,0.2222,102669,61.190968,-149.804168
59,Alaska Vocational Technical Center,0.015,9.0,0.0,7862.0,0.0,0.0,0.8684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102711,60.110626,-149.444487
60,Charter College,0.6665,0.0,387.0,5239.0,17289.0,0.0,0.0,0.5,8226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.604,0.4804,0.462,0.507,0.3553,1.0,0.3235,0.5187,0.5199,102845,45.617798,-122.494766
61,Alaska Career College,0.6184,0.0,123.0,7677.0,0.0,0.0,0.7175,0.0,0.0,0.8624,0.8696,0.6667,0.8182,0.4324,0.7536,0.5652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103501,61.181443,-149.856954
62,Empire Beauty School-Tucson,0.524,0.0,54.0,10287.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103741,32.235657,-110.927187
63,Carrington College-Phoenix North,0.5819,0.0,142.0,9031.0,0.0,0.0,0.6487,0.0,0.0,0.5882,0.4444,1.0,0.7033,0.3077,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103893,33.565758,-112.104601
64,Carrington College-Mesa,0.616,0.0,7.0,13101.0,0.0,0.0,0.5621,0.0,0.0,0.6327,0.2,0.0,0.5495,0.5294,0.6667,0.5909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103909,33.39248,-111.853218
65,Carrington College-Tucson,0.6148,0.0,13.0,9454.0,0.0,0.0,0.7667,0.0,0.0,0.5806,0.8,0.0,0.7257,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103927,32.224391,-110.983056
66,Arizona Academy of Beauty,0.5904,0.0,7.0,8932.0,0.0,0.0,0.5385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103954,32.237253,-110.872305
67,Miller-Motte College-Arizona Automotive Institute,0.5053,0.0,95.0,11309.0,0.0,0.0,0.4936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103963,33.537249,-112.157344
68,Brookline College-Phoenix,0.759,0.0,25.0,15547.0,0.0,0.5798,0.0,0.5882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5065,0.7273,1.0,0.693,0.2564,0.5,0.7857,0.5,0.5785,104090,33.566102,-112.112473
69,Arizona State University Campus Immersion,0.3051,4630.0,0.0,18530.0,11348.0,0.4387,0.0,0.8611,4412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6722,0.5876,0.5588,0.6054,0.5042,0.7914,0.4174,0.6601,0.6602,104151,33.417721,-111.934383
70,Arizona Western College,0.0049,274.0,0.0,1211.0,2900.0,0.0,0.6294,0.0,8471.0,0.4,0.0833,0.125,0.226,0.1333,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104160,32.689306,-114.495968
71,University of Arizona,0.2882,1641.0,0.0,14180.0,12736.0,0.6482,0.0,0.8479,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659,0.597,0.5882,0.5977,0.5465,0.725,0.3485,0.6462,0.6434,104179,32.232672,-110.950815
72,Central Arizona College,0.0444,135.0,0.0,1541.0,2580.0,0.0,0.537,0.0,2800.0,0.2178,0.2963,0.5,0.165,0.0784,0.1818,0.1818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104346,32.957092,-111.652501
73,Charles of Italy Beauty College,0.5747,0.0,28.0,8278.0,0.0,0.0,0.7333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104391,34.477485,-114.332686
74,Cochise County Community College District,0.0601,305.0,0.0,1038.0,2184.0,0.0,0.6312,0.0,3426.0,0.3419,0.3636,0.0,0.2997,0.3077,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104425,31.564597,-110.246946
75,Empire Beauty School-Chandler,0.4304,0.0,16.0,9448.0,0.0,0.0,0.7273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104443,33.347586,-111.860423
76,Avalon Institute-Mesa,0.6123,0.0,70.0,7080.0,0.0,0.0,0.9231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104568,33.376583,-111.858305
77,Eastern Arizona College,0.0,185.0,0.0,1282.0,2160.0,0.0,0.6535,0.0,4892.0,0.4253,0.4375,0.1429,0.4385,0.2857,1.0,0.4688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104577,32.843664,-109.76234
78,Embry-Riddle Aeronautical University-Prescott,0.381,0.0,381.0,30059.0,38966.0,0.6667,0.0,0.7988,4934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7182,0.75,0.6667,0.6667,0.4118,0.7931,1.0,0.6491,0.699,104586,34.616766,-112.449741
79,The School of Architecture,0.0,0.0,0.0,4885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104665,33.566649,-111.941953
80,Glendale Community College,0.0874,431.0,0.0,1570.0,2070.0,0.0,0.5887,0.0,10476.0,0.1751,0.1528,0.0,0.1262,0.119,0.1692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104708,33.570226,-112.190735
81,Grand Canyon University,0.5497,0.0,4454.0,11504.0,17800.0,0.4219,0.0,0.7196,5700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4995,0.3829,0.5769,0.3931,0.3871,0.5556,0.2857,0.4557,0.4474,104717,33.513231,-112.129929
82,GateWay Community College,0.1244,128.0,0.0,2070.0,2070.0,0.0,0.5785,0.0,10476.0,0.2647,0.2,0.0,0.3092,0.1111,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105145,33.449686,-111.997077
83,Mesa Community College,0.086,443.0,0.0,1959.0,2070.0,0.0,0.5937,0.0,10476.0,0.1678,0.1216,0.2,0.1349,0.0935,0.2292,0.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105154,33.390323,-111.871255
84,Mohave Community College,0.0807,54.0,0.0,2061.0,2136.0,0.0,0.5679,0.0,3760.0,0.2895,0.4286,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105206,35.270996,-114.029838
85,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,0.5146,0.0,287.0,12836.0,0.0,0.0,0.7449,0.0,0.0,0.7715,0.6296,0.3333,0.7333,0.6,1.0,0.4545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105215,33.684428,-112.121336
86,Dine College,0.0,55.0,0.0,293.0,1410.0,0.4444,0.0,0.4043,7260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588,0.1517,0.0588,105297,36.293328,-109.21684
87,Northern Arizona University,0.3447,1777.0,0.0,7464.0,11896.0,0.5008,0.0,0.7538,4720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6264,0.5902,0.3333,0.5401,0.4242,0.7308,0.4128,0.5797,0.59,105330,35.188449,-111.653724
88,Northland Pioneer College,0.0,17.0,0.0,823.0,2428.0,0.0,0.3438,0.0,5500.0,0.25,0.0,1.0,0.0,0.0,0.0,0.2353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105349,34.93031,-110.142199
89,Ottawa University-Phoenix,0.6187,0.0,0.0,9998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105367,33.572173,-112.113001
90,Phoenix College,0.0987,286.0,0.0,1405.0,2070.0,0.0,0.586,0.0,10476.0,0.1538,0.0769,0.0,0.1294,0.1053,0.4167,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105428,33.481361,-112.088293
91,Pima Community College,0.1062,428.0,0.0,2018.0,2250.0,0.0,0.6157,0.0,3084.0,0.1981,0.1579,0.1818,0.174,0.12,0.1471,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105525,32.222125,-110.886659
92,Pima Medical Institute-Tucson,0.6179,0.0,0.0,8217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6286,0.6731,1.0,0.6941,0.4762,0.75,0.5,0.6613,0.6651,105534,32.248067,-110.878783
93,Pima Medical Institute-Albuquerque,0.5565,0.0,122.0,8924.0,0.0,0.0,0.4682,0.0,0.0,0.6512,0.6316,1.0,0.7179,0.6,0.3333,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105543,35.104855,-106.59488
94,Prescott College,0.5355,0.0,35.0,13202.0,34701.0,0.5,0.0,0.6699,1923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3913,0.0,0.0,0.5,0.5,0.0,0.0,0.4474,0.4,105589,34.5452,-112.477185
95,Refrigeration School Inc,0.7014,0.0,348.0,15318.0,0.0,0.0,0.7843,0.0,0.0,0.7342,0.5909,0.4444,0.6943,0.4842,0.6667,0.6577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105659,33.448692,-111.989357
96,Rio Salado College,0.0598,69.0,0.0,2634.0,2070.0,0.0,0.3807,0.0,3456.0,0.1176,0.2,0.0,0.1034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105668,33.413309,-111.97417
97,Roberto-Venn School of Luthiery,0.4,0.0,16.0,16987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105677,33.45489,-112.086161
98,Scottsdale Community College,0.0735,114.0,0.0,2079.0,2070.0,0.0,0.6548,0.0,10476.0,0.2074,0.1875,0.0,0.1448,0.2083,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105747,33.51135,-111.885186
99,South Mountain Community College,0.0772,121.0,0.0,1223.0,2070.0,0.0,0.5714,0.0,10476.0,0.2444,0.125,0.0,0.1429,0.1957,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105792,33.382406,-112.032635
100,Arizona Christian University,0.7514,0.0,265.0,13178.0,30624.0,0.5,0.0,0.474,6200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4754,0.2222,0.0,0.2414,0.1875,0.0,0.0,0.4029,0.3583,105899,33.622952,-112.181776
101,Universal Technical Institute of Arizona Inc,0.5342,0.0,254.0,16447.0,0.0,0.0,0.6986,0.0,0.0,0.658,0.5545,0.5238,0.505,0.2857,0.6316,0.5667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106041,33.453005,-112.288123
102,Yavapai College,0.0569,220.0,0.0,2391.0,2600.0,0.0,0.6262,0.0,2364.0,0.3206,0.375,0.3333,0.3516,0.2222,0.5,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106148,34.547495,-112.453395
103,University of Arkansas at Little Rock,0.4335,292.0,0.0,5489.0,8366.0,0.625,0.0,0.6955,5674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4448,0.4152,0.0,0.2979,0.3013,0.6667,1.0,0.4071,0.3988,106245,34.723254,-92.339778
104,University of Arkansas for Medical Sciences,0.5157,0.0,0.0,18169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106263,34.749048,-92.320046
105,Arkansas Baptist College,0.6291,0.0,138.0,2956.0,8760.0,0.2679,0.0,0.2521,4474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0877,0.0,0.0,0.1066,0.0917,106306,34.734751,-92.290555
106,Arkansas Beauty School-Little Rock,0.5667,0.0,5.0,3368.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106315,34.672171,-92.343366
107,Arkansas Beauty College,0.473,0.0,39.0,7408.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106324,35.27902,-93.135369
108,Lyon College,0.5895,0.0,141.0,8641.0,30414.0,0.0,0.0,0.6873,2850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4877,0.0,0.0,0.2667,0.1333,0.3333,0.4,0.439,0.4554,106342,35.777619,-91.625354
109,Arkansas Technical School,0.75,0.0,2.0,15864.0,0.0,0.0,0.6429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106351,34.753843,-92.266429
110,Arthur's Beauty College,0.7209,0.0,8.0,19816.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106360,35.379955,-94.410967
111,University of Arkansas,0.3377,1214.0,0.0,9843.0,9574.0,0.6125,0.0,0.8591,4362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7097,0.6162,0.75,0.6614,0.6,0.6786,0.5417,0.6911,0.6968,106397,36.070009,-94.176981
112,University of Arkansas at Pine Bluff,0.5812,343.0,0.0,3925.0,8398.0,0.3095,0.0,0.6817,4636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.375,0.4073,1.0,0.0,0.3998,0.4075,106412,34.244031,-92.018683
113,Arkansas State University-Beebe,0.1237,328.0,0.0,1639.0,2928.0,0.0,0.5978,0.0,8130.0,0.3939,0.3,0.5,0.4889,0.3478,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106449,35.074176,-91.895351
114,Arkansas State University,0.4526,734.0,0.0,4110.0,7130.0,0.351,0.0,0.7701,4878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.572,0.0,1.0,0.3721,0.4201,0.7,0.75,0.5341,0.5384,106458,35.842388,-90.679988
115,Arkansas Tech University,0.3223,1089.0,0.0,4691.0,7900.0,0.4,0.0,0.6522,4274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5035,0.3284,0.0,0.475,0.1841,0.56,0.4,0.4501,0.4578,106467,35.293237,-93.13562
116,University of Arkansas at Monticello,0.4541,404.0,0.0,4570.0,8029.0,0.625,0.0,0.7198,4986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395,0.4,0.0,0.4583,0.1824,0.3333,0.0,0.3443,0.3301,106485,33.590909,-91.811153
117,Arthur's Beauty College,0.6892,0.0,25.0,8800.0,0.0,0.0,0.5238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106494,34.891572,-92.102579
118,Baptist Health College Little Rock,0.7943,0.0,6.0,5520.0,12598.0,0.0,0.7059,0.0,8814.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106546,34.713115,-92.40692
119,Black River Technical College,0.1674,202.0,0.0,1836.0,4118.0,0.0,0.5078,0.0,4523.0,0.3262,0.25,0.0,0.2222,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106625,36.239793,-90.951033
120,University of Central Arkansas,0.432,1015.0,0.0,5463.0,9563.0,0.4333,0.0,0.7492,6646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5297,0.37,0.0,0.4381,0.3634,0.62,0.5714,0.4749,0.494,106704,35.077945,-92.457672
121,Central Baptist College,0.553,0.0,82.0,9521.0,17400.0,0.0,0.0,0.6129,2796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4096,0.0,0.0,0.25,0.1875,0.0,1.0,0.3864,0.3889,106713,35.083838,-92.445021
122,Cossatot Community College of the University of Arkansas,0.0,106.0,0.0,2274.0,3570.0,0.0,0.6016,0.0,4477.0,0.4487,0.5556,0.0,0.5294,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106795,34.043389,-94.3673
123,Crowley's Ridge College,0.7592,0.0,51.0,8153.0,15250.0,0.0,0.0,0.6515,2607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2553,0.0,0.0,0.0,0.0,0.0,0.0,0.3158,0.2308,106810,36.064845,-90.584395
124,East Arkansas Community College,0.061,101.0,0.0,1733.0,2820.0,0.0,0.5105,0.0,4770.0,0.4889,0.4,0.0,0.0,0.3077,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106883,35.041655,-90.767726
125,Eastern College of Health Vocations-Little Rock,0.2599,0.0,48.0,4244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106892,34.75128,-92.341891
126,Paul Mitchell the School-Little Rock,0.6885,0.0,105.0,11648.0,0.0,0.0,0.6746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106908,34.789913,-92.222202
127,National Park College,0.3673,324.0,0.0,1832.0,4550.0,0.0,0.5949,0.0,2346.0,0.2776,0.0,0.0,0.3191,0.16,0.0,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106980,34.512687,-93.119248
