,school name,federal loan rate,t9 cost for public schools,t9 cost for private schools,tuition revenue per full time enrollment,tuition cost for in state students,part time student retention rate for 4y,full time students <4y,full time students in 4y,cost of attendance w fam other expenses,compl rate for <4y (white),compl rate for <4y (2 or more races),compl rate for <4y (hawaiian/pac islander),compl rate for <4y (hispanic),compl rate for <4y (black),compl rate for <4y (american indian),compl rate less than 4y (american indian),compl rate for 4y (white),compl rate for 4y (2 or more races),compl rate for 4y (hawaiian/pac islander),compl rate for 4y (hispanic),compl rate for 4y (black),compl rate for 4y (asian),compl rate for 4y (american indian),1st-time fulltime compl 4y (2y avg),1st-time fulltime compl 4y,id,latitude,longitude
164,Academy of Chinese Culture and Health Sciences,0.0,0.0,0.0,11530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108269,37.805972,-122.269839
165,College of Alameda,0.0047,42.0,0.0,1341.0,1148.0,0.0,0.5115,0.0,6796.0,0.2414,0.1333,0.3333,0.1778,0.1471,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108667,37.781017,-122.279303
166,Allan Hancock College,0.0048,287.0,0.0,515.0,1146.0,0.0,0.6305,0.0,4761.0,0.3631,0.1379,0.25,0.2621,0.2941,0.4054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108807,34.943716,-120.421144
167,American Academy of Dramatic Arts-Los Angeles,0.5189,0.0,17.0,24721.0,37230.0,0.0,0.4445,0.0,6300.0,0.7742,0.25,0.0,0.5833,0.625,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108852,34.095378,-118.343701
168,Berkeley School of Theology,0.0,0.0,0.0,10135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108861,37.865252,-122.256149
169,American Film Institute Conservatory,0.0,0.0,0.0,35136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108870,34.10767,-118.310018
170,American Beauty College,0.4714,0.0,10.0,8863.0,0.0,0.0,0.7187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108977,34.069367,-117.936959
171,American Career College-Los Angeles,0.6488,0.0,50.0,13398.0,0.0,0.0,0.7608,0.0,0.0,0.7143,0.4444,0.6667,0.7176,0.5405,0.6667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109040,34.079323,-118.292481
172,American Conservatory Theater,0.0,0.0,0.0,31258.0,30800.0,0.0,0.0,0.0,5706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,109086,37.786923,-122.410265
173,American River College,0.0301,472.0,0.0,521.0,1288.0,0.0,0.6607,0.0,4274.0,0.3113,0.3431,0.2308,0.1972,0.1633,0.4829,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109208,38.65085,-121.349672
174,Antelope Valley Community College District,0.0274,529.0,0.0,423.0,1124.0,0.0,0.0,0.0,4617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3568,0.2093,0.5,0.2965,0.1778,0.3243,0.5,0.2809,0.2888,109350,34.676207,-118.186166
175,Art Center College of Design,0.4686,0.0,95.0,33207.0,48044.0,0.0,0.0,0.8134,6492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6923,1.0,0.0,0.6,0.5,0.7738,0.0,0.7368,0.7586,109651,34.169031,-118.185102
176,Associated Technical College-Los Angeles,0.364,0.0,160.0,7454.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109721,34.056102,-118.272364
177,Associated Technical College-San Diego,0.3542,0.0,13.0,30233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109730,32.773178,-117.135196
178,Azusa Pacific University,0.4772,0.0,327.0,19762.0,41510.0,0.3333,0.0,0.7762,4376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7524,0.7087,0.5263,0.6884,0.5965,0.7426,0.5,0.6905,0.7151,109785,34.130047,-117.888375
179,Bakersfield College,0.0069,815.0,0.0,466.0,1430.0,0.0,0.0,0.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3086,0.2034,0.0,0.1805,0.119,0.375,0.0,0.2092,0.2061,109819,35.40911,-118.973753
180,Barstow Community College,0.0896,121.0,0.0,217.0,1104.0,0.0,0.6043,0.0,4275.0,0.2143,0.32,0.3333,0.328,0.24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109907,34.870285,-117.023412
181,Bellus Academy-Chula Vista,0.5638,0.0,25.0,9661.0,0.0,0.0,0.7143,0.0,0.0,0.0,0.5,0.0,0.5636,0.2,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109934,32.614773,-117.083738
