,school name,zipcode,student size,pell grant rate,average faculty salary,fulltime faculty rate,admission test requirements,completion rate in 4 years (hawaiian or pacific islander),completion rate in 4 years (american indian),completion rate in 4 years (asian),completion rate in 4 years (hispanic),completion rate in 4 years (black),completion rate in 4 years (white),total student demographic (white),total student demographic (hispanic),total student demographic (black),total student demographic (american indian),total student demographic (female),total student demographic (male),median debt for income 30001_75000,median debt for income 0-30000,median debt for income greater than 75000,median debt for noncompleters,median debt for completers,median debt for male students,median debt for independent students,median debt for female students,median debt for dependent students,faculty demographic (white),faculty demographic (2 or more race or ethnicity),faculty demographic (unknown race or ethnicity),faculty demographic (hawaiian or pacific islander),faculty demographic (hispanic),faculty demographic (black),faculty demographic (asian),faculty demographic (american indian),latest.student.share_25_older
267,Dell'Arte International School of Physical Theatre,95525-0816,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6923,0.0,0.0,0.0,0.7692,0.2308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7692
268,College of the Desert,92260,8634.0,0.3207,11034.0,0.2676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542,0.7402,0.024,0.003,0.5968,0.4032,0.0,0.0,0.0,4625.0,0.0,0.0,6880.0,0.0,2700.0,0.5645,0.0323,0.0161,0.0,0.25,0.0484,0.0323,0.0081,0.3241
269,Design Institute of San Diego,92121,119.0,0.4113,6611.0,0.3191,3.0,0.0,0.0,0.0,0.5,0.0,0.5,0.4622,0.2437,0.1092,0.0336,0.8908,0.1092,0.0,29425.0,0.0,13215.0,36844.0,0.0,27302.0,0.0,20500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5882
270,Diablo Valley College,94523,15326.0,0.1391,9993.0,0.3921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3198,0.2783,0.0559,0.0022,0.5204,0.4796,6000.0,6434.0,5500.0,5500.0,10021.0,5858.0,7250.0,6332.0,5450.0,0.5679,0.0174,0.0801,0.0035,0.1254,0.0697,0.1289,0.007,0.3364
271,Dominican University of California,94901-2298,1243.0,0.33,9008.0,0.2769,5.0,0.75,0.6667,0.8955,0.6818,0.7222,0.7263,0.2454,0.2719,0.0386,0.0217,0.6879,0.3121,21769.0,23375.0,25624.0,11613.0,27000.0,18417.0,25000.0,25000.0,24250.0,0.6505,0.0194,0.1262,0.0,0.0485,0.0583,0.0777,0.0,0.1121
272,Dominican School of Philosophy & Theology,94708-1816,0.0,0.0,3217.0,0.6316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9091,0.0,0.0,0.0,0.0909,0.0,0.0,0.0,0.0
273,East Los Angeles College,91754-6099,25649.0,0.1983,10715.0,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941,0.6311,0.0665,0.0019,0.5186,0.4814,0.0,7490.0,0.0,6750.0,10500.0,6500.0,9500.0,7480.0,5024.0,0.2516,0.0096,0.2166,0.0,0.2866,0.0478,0.1752,0.0,0.5229
274,El Camino Community College District,90506,16764.0,0.2975,9974.0,0.3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1198,0.4785,0.1294,0.0017,0.5437,0.4563,0.0,4750.0,0.0,0.0,0.0,4750.0,5000.0,4875.0,4298.0,0.5421,0.0,0.0093,0.0031,0.2087,0.0717,0.1558,0.0062,0.2909
275,Emperor's College of Traditional Oriental Medicine,90403,0.0,0.0,7812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,Empire College,95403-2126,0.0,0.3916,0.0,0.0,0.0,0.0,1.0,0.0,0.625,0.0,0.6129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14200.0,0.0,9315.0,13000.0,12000.0,14100.0,12000.0,11809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
