,school name,id,latitude,longitude
166,Allan Hancock College,108807,34.943716,-120.421144
167,American Academy of Dramatic Arts-Los Angeles,108852,34.095378,-118.343701
168,Berkeley School of Theology,108861,37.865252,-122.256149
169,American Film Institute Conservatory,108870,34.10767,-118.310018
170,American Beauty College,108977,34.069367,-117.936959
171,American Career College-Los Angeles,109040,34.079323,-118.292481
172,American Conservatory Theater,109086,37.786923,-122.410265
173,American River College,109208,38.65085,-121.349672
174,Antelope Valley Community College District,109350,34.676207,-118.186166
175,Art Center College of Design,109651,34.169031,-118.185102
176,Associated Technical College-Los Angeles,109721,34.056102,-118.272364
177,Associated Technical College-San Diego,109730,32.773178,-117.135196
178,Azusa Pacific University,109785,34.130047,-117.888375
179,Bakersfield College,109819,35.40911,-118.973753
180,Barstow Community College,109907,34.870285,-117.023412
181,Bellus Academy-Chula Vista,109934,32.614773,-117.083738
182,Bethesda University,110060,33.842295,-117.941323
183,Biola University,110097,33.906203,-118.014374
184,Brownson Technical School,110194,33.819032,-117.905774
185,Bryan University,110219,33.437779,-111.944197
186,Butte College,110246,39.649782,-121.644831
187,California Institute of Integral Studies,110316,37.774924,-122.416102
188,Cabrillo College,110334,36.989448,-121.924797
189,California Baptist University,110361,33.929321,-117.425619
190,California College of the Arts,110370,37.767485,-122.399451
191,University of California-Hastings College of Law,110398,37.781137,-122.4157
192,California Institute of Technology,110404,34.137349,-118.125878
193,California Lutheran University,110413,34.224566,-118.878924
194,California Polytechnic State University-San Luis Obispo,110422,35.299513,-120.657311
195,Alliant International University-San Diego,110468,32.897056,-117.094398
196,California State University-Bakersfield,110486,35.350005,-119.104711
197,California State University-Stanislaus,110495,37.52577,-120.852511
198,California State University-San Bernardino,110510,34.182622,-117.323801
199,California State Polytechnic University-Pomona,110529,34.057912,-117.821476
200,California State University-Chico,110538,39.729712,-121.844859
201,California State University-Dominguez Hills,110547,33.864766,-118.255917
202,California State University-Fresno,110556,36.811154,-119.744569
203,California State University-Fullerton,110565,33.881506,-117.885446
204,California State University-East Bay,110574,37.657694,-122.054135
205,California State University-Long Beach,110583,33.782818,-118.11204
206,California State University-Los Angeles,110592,34.066927,-118.168965
207,California State University-Northridge,110608,34.240126,-118.529319
208,California State University-Sacramento,110617,38.559415,-121.423549
209,University of California-Berkeley,110635,37.871918,-122.260463
210,University of California-Davis,110644,38.539667,-121.749567
211,University of California-Irvine,110653,33.648434,-117.841248
212,University of California-Los Angeles,110662,34.07178,-118.442179
213,University of California-Riverside,110671,33.97246,-117.32741
214,University of California-San Diego,110680,32.877749,-117.235866
215,University of California-San Francisco,110699,37.763737,-122.458489
216,University of California-Santa Barbara,110705,34.416297,-119.846426
217,University of California-Santa Cruz,110714,36.995584,-122.058801
218,Sofia University,110778,37.430325,-122.10866
219,California Beauty School,110875,37.645217,-120.99689
220,California Christian College,110918,36.749366,-119.711123
221,Haven University,111045,33.777392,-117.939412
222,California Hair Design Academy,111054,32.765221,-117.024261
223,California Institute of the Arts,111081,34.39327,-118.566837
224,California State University Maritime Academy,111188,38.069061,-122.231551
225,California Western School of Law,111391,32.722192,-117.162416
226,Canada College,111434,37.44877,-122.265398
227,College of the Canyons,111461,34.403993,-118.568698
228,Career Academy of Beauty,111513,33.781018,-118.031697
229,Casa Loma College-Los Angeles,111638,34.192829,-118.457781
230,CET-San Diego,111708,32.711302,-117.105328
231,CET-San Jose,111717,37.322723,-121.88698
232,CET-El Centro,111726,32.790908,-115.549079
233,CET-Colton,111744,34.077381,-117.353488
234,CET-Watsonville,111762,36.931833,-121.767991
235,CET-Salinas,111799,36.707333,-121.65236
236,Cerritos College,111887,33.886874,-118.097337
237,Cerro Coso Community College,111896,35.567525,-117.66767
238,Chabot College,111920,37.642458,-122.105636
239,Chaffey College,111939,34.147663,-117.573932
240,Chapman University,111948,33.79302,-117.852518
241,Charles R Drew University of Medicine and Science,111966,33.925658,-118.242791
242,Concordia University-Irvine,112075,33.653665,-117.812305
243,San Diego Christian College,112084,32.842404,-116.978112
244,Church Divinity School of the Pacific,112127,37.876184,-122.261122
245,Citrus College,112172,34.13537,-117.886469
246,Citrus Heights Beauty College,112181,38.712951,-121.289529
247,City College of San Francisco,112190,37.725953,-122.451155
248,Claremont Graduate University,112251,34.103585,-117.713703
249,Claremont McKenna College,112260,34.102154,-117.711188
250,Milan Institute-Visalia,112288,36.27164,-119.312151
251,Clovis Adult Education,112367,36.834459,-119.690369
252,Coastline Community College,112385,33.715634,-117.929143
253,University of Silicon Valley,112394,37.414049,-121.94087
254,Coba Academy,112455,33.841141,-117.943108
255,Western University of Health Sciences,112525,34.058092,-117.747732
256,Columbia College,112561,38.030367,-120.388385
257,Columbia College Hollywood,112570,34.17972,-118.538793
258,Compton College,112686,33.878226,-118.209463
259,Contra Costa College,112826,37.969381,-122.337377
260,Cosumnes River College,113096,38.45295,-121.423108
261,Crafton Hills College,113111,34.039178,-117.101173
262,Cuesta College,113193,35.331276,-120.742235
263,Cuyamaca College,113218,32.744954,-116.943507
264,Cypress College,113236,33.82833,-118.025143
265,De Anza College,113333,37.319914,-122.045783
266,International School of Beauty Inc,113449,33.729555,-116.403928
267,Dell'Arte International School of Physical Theatre,113537,40.880924,-123.988808
268,College of the Desert,113573,33.732108,-116.388271
269,Design Institute of San Diego,113582,32.880926,-117.167374
270,Diablo Valley College,113634,37.968516,-122.073142
271,Dominican University of California,113698,37.981279,-122.512051
272,Dominican School of Philosophy & Theology,113704,37.881099,-122.264612
273,East Los Angeles College,113856,34.040531,-118.148785
274,El Camino Community College District,113980,33.885229,-118.329913
275,Emperor's College of Traditional Oriental Medicine,114114,34.030438,-118.485119
276,Empire College,114123,38.468052,-122.729337
277,Evergreen Valley College,114266,37.30167,-121.76561
278,FIDM-Fashion Institute of Design & Merchandising,114354,34.044209,-118.25993
279,Feather River Community College District,114433,39.953101,-120.973067
280,Federico Beauty Institute,114460,38.64883,-121.497761
281,Fielding Graduate University,114549,34.42941,-119.717161
282,Five Branches University,114585,36.964348,-121.998245
283,Redondo Beach Beauty College,114637,33.873098,-118.372137
284,Foothill College,114716,37.361655,-122.127964
285,Franciscan School of Theology,114734,32.770816,-117.192073
286,Fredrick and Charles Beauty College,114761,40.798885,-124.164986
287,Fresno City College,114789,36.768164,-119.796096
288,Fresno Pacific University,114813,36.726831,-119.735199
289,Fuller Theological Seminary,114840,34.14778,-118.140261
290,Fullerton College,114859,33.875514,-117.918255
291,Gavilan College,114938,36.972627,-121.569842
292,Gemological Institute of America-Carlsbad,114947,33.131313,-117.318765
293,Glendale Community College,115001,34.16745,-118.227666
294,Glendale Career College,115010,34.149771,-118.254719
295,Golden Gate University,115083,37.789374,-122.398969
296,Golden West College,115126,33.732531,-118.002568
297,Graduate Theological Union,115214,37.87554,-122.261847
298,Grossmont College,115296,32.815246,-117.006277
299,Salon Success Academy-Riverside,115357,33.943149,-117.391024
300,Hartnell College,115393,36.675091,-121.666054
301,Harvey Mudd College,115409,34.106515,-117.709837
302,Hilltop Beauty School,115658,37.705502,-122.461467
303,Holy Names University,115728,37.802276,-122.187804
304,Pacifica Graduate Institute,115746,34.420881,-119.580414
305,California State Polytechnic University-Humboldt,115755,40.877481,-124.078293
306,Humphreys University-Stockton and Modesto Campuses,115773,38.011489,-121.316918
307,Imperial Valley College,115861,32.827209,-115.503563
308,Institute for Business and Technology,115931,37.368642,-121.969541
309,Interior Designers Institute,116226,33.641393,-117.865722
310,International School of Cosmetology,116350,34.080053,-118.361176
311,Irvine Valley College,116439,33.675381,-117.777539
312,Bellus Academy-El Cajon,116563,32.794072,-116.94627
313,American Jewish University,116846,34.128153,-118.471706
314,Reedley College,117052,36.605428,-119.458555
315,Life Pacific University,117104,34.098705,-117.829388
316,University of La Verne,117140,34.100855,-117.773262
317,Laguna College of Art and Design,117168,33.561448,-117.772564
318,Lake Tahoe Community College,117195,38.926797,-119.972574
319,Lancaster Beauty School,117238,34.694914,-118.147547
320,Laney College,117247,37.797257,-122.26283
321,Lassen Community College,117274,40.432053,-120.633271
322,Latin American Bible Institute,117283,34.030992,-117.989601
323,Life Chiropractic College West,117520,37.638099,-122.117619
324,Lincoln University,117557,37.804788,-122.269745
325,Southern California Seminary,117575,32.799614,-116.905461
326,La Sierra University,117627,33.910704,-117.500054
327,Loma Linda University,117636,34.051241,-117.260605
328,Long Beach City College,117645,33.833593,-118.135633
329,Southern California University of Health Sciences,117672,33.922966,-117.983401
330,Los Angeles Harbor College,117690,33.785825,-118.283549
331,Los Angeles Pierce College,117706,34.183949,-118.575071
332,Los Angeles Southwest College,117715,33.929586,-118.304674
333,Los Angeles Trade Technical College,117724,34.031907,-118.269447
334,Los Angeles Valley College,117733,34.175165,-118.421734
335,The Master's University and Seminary,117751,34.381755,-118.518193
336,Los Angeles City College,117788,34.087301,-118.292169
337,Los Angeles County College of Nursing and Allied Health,117803,34.062647,-118.211852
338,Los Angeles Mission College,117867,34.314668,-118.4195
339,Los Medanos College,117894,38.006474,-121.860967
340,Loyola Marymount University,117946,33.97085,-118.415744
341,Lu Ross Academy,117955,34.278034,-119.293952
342,Lyle's College of Beauty,118134,35.386539,-119.02387
343,Lyle's College of  Beauty,118143,36.836265,-119.774167
344,Lytles Redwood Empire Beauty College,118161,38.508385,-122.75777
345,MTI College,118198,38.661377,-121.342568
346,College of Marin,118347,37.954897,-122.549149
347,Marymount California University,118541,33.734887,-118.333371
348,Mendocino College,118684,39.188989,-123.228809
349,Menlo College,118693,37.453475,-122.190797
350,Merced College,118718,37.3353,-120.476464
351,Merritt College,118772,37.789088,-122.167335
352,Mills College,118888,37.781425,-122.182294
353,MiraCosta College,118912,33.190483,-117.302606
354,Mission College,118930,37.391935,-121.980783
355,Modern Beauty Academy,118958,34.195384,-119.181423
356,Modesto Junior College,118976,37.651056,-121.009792
357,Moler Barber College,118994,37.827075,-122.265352
358,Middlebury Institute of International Studies at Monterey,119058,36.599736,-121.897325
359,Monterey Peninsula College,119067,36.590558,-121.884931
360,Moorpark College,119137,34.301146,-118.834528
361,Mt San Antonio College,119164,34.047764,-117.846629
362,Mount Saint Mary's University,119173,34.085315,-118.482879
363,Mt San Jacinto Community College District,119216,33.806748,-116.971169
364,Musicians Institute,119270,34.101265,-118.337582
365,Napa Valley College,119331,38.274081,-122.274381
366,National Holistic Institute,119553,37.841898,-122.287672
367,National University,119605,32.909894,-117.243026
368,Naval Postgraduate School,119678,36.597159,-121.874248
369,Newschool of Architecture and Design,119775,32.71331,-117.153305
370,North Adrian's College of Beauty Inc,119951,37.677778,-120.992753
371,North-West College-Pomona,120069,34.062043,-117.751227
372,North-West College-West Covina,120078,34.072071,-117.949583
373,North-West College-Van Nuys,120087,34.189497,-118.450184
374,San Francisco Bay University,120166,37.477991,-121.925953
375,Notre Dame de Namur University,120184,37.517111,-122.284794
376,Occidental College,120254,34.127124,-118.210908
377,Ohlone College,120290,37.52773,-121.916339
378,Orange Coast College,120342,33.66927,-117.909086
379,Otis College of Art and Design,120403,33.956607,-118.416615
380,Oxnard College,120421,34.166104,-119.157604
381,Hope International University,120537,33.87616,-117.88573
382,Concorde Career College-San Diego,120661,32.702814,-117.102845
383,Palo Alto University,120698,37.382216,-122.187437
384,Pacific Oaks College,120768,34.153382,-118.151323
385,Pacific School of Religion,120795,37.87669,-122.263155
386,Pacific States University,120838,34.061315,-118.298408
387,Pacific Union College,120865,38.570585,-122.440308
388,University of the Pacific,120883,37.981424,-121.312301
389,Palo Verde College,120953,33.661538,-114.651698
390,Palomar College,120971,33.149483,-117.183978
391,Pasadena City College,121044,34.144552,-118.118196
392,Pepperdine University,121150,34.037786,-118.707077
393,Pitzer College,121257,34.104107,-117.706675
394,Platt College-San Diego,121275,32.76373,-117.063483
395,Point Loma Nazarene University,121309,32.718391,-117.250265
396,Pomona College,121345,34.099027,-117.714556
397,Porterville College,121363,36.049256,-119.014368
398,Professional Institute of Beauty,121433,34.075561,-118.039028
399,Santa Ana College,121619,33.759309,-117.887558
400,Pardee RAND Graduate School,121628,34.00973,-118.490655
