,school name,student median family income,t9 low inc comp by 3y,t9 low inc comp by 4y,t9 low inc comp by 6y,t9 low inc comp by 8y,t9 low inc withdr by 2y,t9 low inc withdr by 3y,t9 low inc withdr by 4y,t9 low inc withdr by 6y,t9 low inc withdr by 8y,t9 low inc transfers withdr by 2y,t9 low inc transfers withdr by 3y,t9 low inc transfers withdr by 4y,t9 low inc transfers withdr by 6y,t9 low inc transfers withdr by 8y,t9 low inc transfers comp by 2y,t9 low inc transfers comp by 3y,t9 low inc transfers comp by 4y,t9 low inc transfers comp by 6y,t9 low inc transfers comp by 8y,t9 middle inc comp by 2y,t9 middle inc comp by 3y,t9 middle inc comp by 4y,t9 middle inc comp by 6y,t9 middle inc comp by 8y,t9 middle inc withdr by 2y,t9 middle inc withdr by 3y,t9 middle inc withdr by 4y,t9 middle inc withdr by 6y,t9 middle inc withdr by 8y,t9 middle inc transfers withdr by 2y,t9 middle inc transfers withdr by 3y,t9 middle inc transfers withdr by 4y,t9 middle inc transfers withdr by 6y,t9 middle inc transfers withdr by 8y,t9 middle inc transfers comp by 2y,t9 middle inc transfers comp by 3y,t9 middle inc transfers comp by 4y,t9 middle inc transfers comp by 6y,t9 middle inc transfers comp by 8y,t9 high inc completed by 2y,t9 high inc completed by 3y,t9 high inc completed by 4y,t9 high inc completed by 6y,t9 high inc completed by 8y,t9 high inc withdr by 2y,t9 high inc withdr by 3y,t9 high inc withdr by 4y,t9 high inc withdr by 6y,t9 high inc withdr by 8y,t9 high inc transfers withdr by 2y,t9 high inc transfers withdr by 3y,t9 high inc transfers withdr by 4y,t9 high inc transfers withdr by 6y,t9 high inc transfers withdr by 8y,t9 high inc transfers to 4y comp by 2y,t9 high inc transfers to 4y comp by 3y,t9 high inc transfers to 4y comp by 4y,t9 high inc transfers to 4y comp by 6y,t9 high inc transfers to 4y comp by 8y,id,latitude,longitude
16,Gadsden State Community College,16623.0,0.173252279635,0.181729834791,0.162087912088,0.155190677966,0.590762620838,0.631205673759,0.600583090379,0.573489010989,0.316207627119,0.0,0.03748733536,0.046647230321,0.055631868132,0.064088983051,0.0,0.0,0.0,0.03228021978,0.049788135593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101240,33.994001,-85.991438
17,New Beginning College of Cosmetology,17173.0,0.690476190476,0.717948717949,0.625,0.604651162791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101277,34.27871,-86.196931
18,George C Wallace Community College-Dothan,15816.0,0.19801980198,0.234042553191,0.235240690282,0.19427244582,0.515046296296,0.538366336634,0.515117581187,0.468664850136,0.221362229102,0.03125,0.049504950495,0.045912653975,0.078110808356,0.098297213622,0.0,0.0,0.014557670773,0.030881017257,0.060371517028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101286,31.315274,-85.465836
19,George C Wallace State Community College-Hanceville,27572.0,0.205387205387,0.218637992832,0.22458857696,0.196670135276,0.529209621993,0.505050505051,0.5256869773,0.545982575024,0.380853277836,0.030927835052,0.035914702581,0.05376344086,0.045498547919,0.042663891779,0.01489117984,0.0,0.028673835125,0.035818005808,0.064516129032,0.168810289389,0.275167785235,0.319626168224,0.318446601942,0.317604355717,0.483922829582,0.421140939597,0.416822429907,0.417475728155,0.303085299456,0.0,0.0,0.0,0.04854368932,0.039927404719,0.0,0.018456375839,0.0,0.077669902913,0.094373865699,0.193832599119,0.304932735426,0.308080808081,0.369863013699,0.335483870968,0.4140969163,0.385650224215,0.39898989899,0.365296803653,0.374193548387,0.0,0.0,0.0,0.059360730594,0.064516129032,0.0,0.0,0.0,0.073059360731,0.109677419355,101295,34.072439,-86.781935
20,George C Wallace State Community College-Selma,14330.0,0.240425531915,0.219885277247,0.224522292994,0.155771905424,0.507462686567,0.46170212766,0.378585086042,0.334394904459,0.229485396384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084840055633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101301,32.445917,-87.013294
21,Herzing University-Birmingham,18321.0,0.278897573015,0.287412587413,0.292638483965,0.258987527513,0.353174603175,0.338543809132,0.306993006993,0.251093294461,0.246515040352,0.038888888889,0.055532702592,0.081468531469,0.106413994169,0.10528246515,0.020238095238,0.023858494447,0.021678321678,0.035349854227,0.049156272927,0.34993614304,0.457800511509,0.43337334934,0.490384615385,0.476821192053,0.245210727969,0.260869565217,0.274909963986,0.20467032967,0.211920529801,0.0,0.0,0.0,0.0,0.0,0.022988505747,0.0,0.03481392557,0.0,0.045033112583,0.367588932806,0.538759689922,0.588679245283,0.63679245283,0.511520737327,0.169960474308,0.209302325581,0.17358490566,0.160377358491,0.207373271889,0.0,0.0,0.0,0.0,0.0,0.04743083004,0.0,0.045283018868,0.0,0.05069124424,101365,33.468466,-86.832465
22,Huntingdon College,37577.0,0.427536231884,0.5,0.47972972973,0.360544217687,0.259541984733,0.231884057971,0.201388888889,0.182432432432,0.265306122449,0.0,0.0,0.0,0.087837837838,0.102040816327,0.0,0.0,0.083333333333,0.0,0.068027210884,0.198113207547,0.465517241379,0.484848484848,0.621621621622,0.450819672131,0.0,0.137931034483,0.141414141414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196721311475,0.119658119658,0.384615384615,0.573033707865,0.64347826087,0.51376146789,0.0,0.134615384615,0.134831460674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.130434782609,0.146788990826,101435,32.351034,-86.284366
23,Heritage Christian University,36524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101453,34.856153,-87.663051
24,J. F. Drake State Community and Technical College,13959.0,0.0,0.0,0.0,0.0,0.661290322581,0.598393574297,0.615635179153,0.553684210526,0.319444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101462,34.771858,-86.572885
25,J F Ingram State Technical College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101471,32.582312,-86.392369
